address,country_code,house_number,street,town,state,postal_code,country
"11 CATTLE VALLEY ROAD, KUROW",NZ,11,CATTLE VALLEY ROAD,KUROW,,,
"658 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,658,PENINSULA ROAD,QUEENSTOWN,,,
"30 RIVERSIDE ROAD, FRANKTON, QUEENSTOWN",NZ,30,RIVERSIDE ROAD,QUEENSTOWN,,,
"91 GLENROSS STREET, GLENROSS, DUNEDIN",NZ,91,GLENROSS STREET,DUNEDIN,,,
"226 TOKO MOUTH ROAD, TOKO MOUTH, MILTON",NZ,226,TOKO MOUTH ROAD,MILTON,,,
"128 MIDDLETON ROAD, CORSTORPHINE, DUNEDIN",NZ,128,MIDDLETON ROAD,DUNEDIN,,,
"115 FORFAR STREET, CLYDE HILL, DUNEDIN",NZ,115,FORFAR STREET,DUNEDIN,,,
"1 WAITAKI DRIVE EAST, OTEMATATA",NZ,1,WAITAKI DRIVE EAST,OTEMATATA,,,
"10 ROBINS ROAD, QUEENSTOWN",NZ,10,ROBINS ROAD,QUEENSTOWN,,,
"48 HUFF STREET, QUEENSTOWN",NZ,48,HUFF STREET,QUEENSTOWN,,,
"54 PASSMORE CRESCENT, MAORI HILL, DUNEDIN",NZ,54,PASSMORE CRESCENT,DUNEDIN,,,
"68 BALLANTYNE ROAD, WANAKA",NZ,68,BALLANTYNE ROAD,WANAKA,,,
"613 HIGHGATE, MAORI HILL, DUNEDIN",NZ,613,HIGHGATE,DUNEDIN,,,
"39 GLEN ROAD, MORNINGTON, DUNEDIN",NZ,39,GLEN ROAD,DUNEDIN,,,
"1384 TAHAKOPA VALLEY ROAD, TAHAKOPA, OWAKA",NZ,1384,TAHAKOPA VALLEY ROAD,OWAKA,,,
"69 MULFORD STREET, CONCORD, DUNEDIN",NZ,69,MULFORD STREET,DUNEDIN,,,
"167 WALKER ROAD, KELSO, TAPANUI",NZ,167,WALKER ROAD,TAPANUI,,,
"37C UXBRIDGE STREET, RENWICK",NZ,37C,UXBRIDGE STREET,RENWICK,,,
"14 PENNANT STREET, WAKARI, DUNEDIN",NZ,14,PENNANT STREET,DUNEDIN,,,
"15 GLENLEIGH PLACE, MOSGIEL",NZ,15,GLENLEIGH PLACE,MOSGIEL,,,
"12 AMY PLACE, RANGIORA",NZ,12,AMY PLACE,RANGIORA,,,
"14 OREGON DRIVE, KELVIN HEIGHTS, QUEENSTOWN",NZ,14,OREGON DRIVE,QUEENSTOWN,,,
"49 JOHNSON STREET, MILTON",NZ,49,JOHNSON STREET,MILTON,,,
"29 GAMMA STREET, BELLEKNOWES, DUNEDIN",NZ,29,GAMMA STREET,DUNEDIN,,,
"17 VISCOUNT ROAD, WALDRONVILLE, DUNEDIN",NZ,17,VISCOUNT ROAD,DUNEDIN,,,
"19 CALDER STREET, OWAKA",NZ,19,CALDER STREET,OWAKA,,,
"927 FRANKTON ROAD, FRANKTON, QUEENSTOWN",NZ,927,FRANKTON ROAD,QUEENSTOWN,,,
"723 OLD PORT ROAD, KAIHIKU, BALCLUTHA",NZ,723,OLD PORT ROAD,BALCLUTHA,,,
"127 WILLIAM STREET, PETONE, LOWER HUTT",NZ,127,WILLIAM STREET,LOWER HUTT,,,
"57 GLENHOLM STREET, GLENLEITH, DUNEDIN",NZ,57,GLENHOLM STREET,DUNEDIN,,,
"53 KINMONT CRESCENT, KINMONT PARK, MOSGIEL",NZ,53,KINMONT CRESCENT,MOSGIEL,,,
"24 FORFAR STREET, CLYDE HILL, DUNEDIN",NZ,24,FORFAR STREET,DUNEDIN,,,
"24 GRAHAM STREET, MOSGIEL",NZ,24,GRAHAM STREET,MOSGIEL,,,
"22 MCSKIMMING LANE, BENHAR, BALCLUTHA",NZ,22,MCSKIMMING LANE,BALCLUTHA,,,
"21 LEASK STREET, OMAKAU",NZ,21,LEASK STREET,OMAKAU,,,
"10 POOLE STREET, KAITANGATA",NZ,10,POOLE STREET,KAITANGATA,,,
"61 ELGIN ROAD, MORNINGTON, DUNEDIN",NZ,61,ELGIN ROAD,DUNEDIN,,,
"11 BRAEMAR STREET, MOSGIEL",NZ,11,BRAEMAR STREET,MOSGIEL,,,
"13 THEYERS STREET, ALEXANDRA",NZ,13,THEYERS STREET,ALEXANDRA,,,
"90 DISTRICT ROAD, GREEN ISLAND, DUNEDIN",NZ,90,DISTRICT ROAD,DUNEDIN,,,
"7 OVENDEN STREET, OWAKA",NZ,7,OVENDEN STREET,OWAKA,,,
"320 MT GREY ROAD, LOBURN",NZ,320,MT GREY ROAD,LOBURN,,,
"40 MCMILLAN ROAD, ARTHURS POINT, QUEENSTOWN",NZ,40,MCMILLAN ROAD,QUEENSTOWN,,,
"5 MARDALE STREET, KAIKORAI, DUNEDIN",NZ,5,MARDALE STREET,DUNEDIN,,,
"2 SOUTER STREET, MOSGIEL",NZ,2,SOUTER STREET,MOSGIEL,,,
"32 LAMBERT STREET, ABBOTSFORD, DUNEDIN",NZ,32,LAMBERT STREET,DUNEDIN,,,
"105 BARR STREET, KENMURE, DUNEDIN",NZ,105,BARR STREET,DUNEDIN,,,
"4 ANDERSON ROAD, WANAKA",NZ,4,ANDERSON ROAD,WANAKA,,,
"43C CLERMISTON AVENUE, CORSTORPHINE, DUNEDIN",NZ,43C,CLERMISTON AVENUE,DUNEDIN,,,
"9 CHAIN HILLS HIGHWAY, OMARAMA, OMARAMA",NZ,9,CHAIN HILLS HIGHWAY,OMARAMA,,,
"96 UPTON STREET, WANAKA",NZ,96,UPTON STREET,WANAKA,,,
"55 BEDFORD STREET, SAINT CLAIR, DUNEDIN",NZ,55,BEDFORD STREET,DUNEDIN,,,
"42 JOE BROWN AVENUE, MOSGIEL",NZ,42,JOE BROWN AVENUE,MOSGIEL,,,
"31 LAKEVIEW TERRACE, LAKE HAWEA",NZ,31,LAKEVIEW TERRACE,LAKE HAWEA,,,
"61 STUDHOLME ROAD, WANAKA",NZ,61,STUDHOLME ROAD,WANAKA,,,
"12 OBAN STREET, MOSGIEL",NZ,12,OBAN STREET,MOSGIEL,,,
"84 RAVENSWOOD ROAD, SAINT CLAIR, DUNEDIN",NZ,84,RAVENSWOOD ROAD,DUNEDIN,,,
"31 ST CATHERINE STREET, KAITANGATA",NZ,31,ST CATHERINE STREET,KAITANGATA,,,
"104 THE SQUARE, PALMERSTON NORTH",NZ,104,THE SQUARE,PALMERSTON NORTH,,,
"15 MELVILLE STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,15,MELVILLE STREET,DUNEDIN,,,
"31 FRANCES STREET, BALCLUTHA",NZ,31,FRANCES STREET,BALCLUTHA,,,
"30 HIGHGROVE, SAINT CLAIR, DUNEDIN",NZ,30,HIGHGROVE,DUNEDIN,,,
"65 BRINGANS STREET, ALEXANDRA",NZ,65,BRINGANS STREET,ALEXANDRA,,,
"9 BOWLER AVENUE, MORNINGTON, DUNEDIN",NZ,9,BOWLER AVENUE,DUNEDIN,,,
"41 CLYDE STREET, BALCLUTHA",NZ,41,CLYDE STREET,BALCLUTHA,,,
"44 BREMNER STREET, FAIRFIELD, DUNEDIN",NZ,44,BREMNER STREET,DUNEDIN,,,
"19 GORDON STREET, KUROW",NZ,19,GORDON STREET,KUROW,,,
"16 VASARI GRANGE, ROLLESTON",NZ,16,VASARI GRANGE,ROLLESTON,,,
"9 MOUNTFORT STREET, OUTRAM",NZ,9,MOUNTFORT STREET,OUTRAM,,,
"10 ALEXANDER STREET, ABBOTSFORD, DUNEDIN",NZ,10,ALEXANDER STREET,DUNEDIN,,,
"37 LAWRENCE STREET, MORNINGTON, DUNEDIN",NZ,37,LAWRENCE STREET,DUNEDIN,,,
"27 PRESTON CRESCENT, BELLEKNOWES, DUNEDIN",NZ,27,PRESTON CRESCENT,DUNEDIN,,,
"28 SHANNON STREET, ALEXANDRA",NZ,28,SHANNON STREET,ALEXANDRA,,,
"23 HARWICH STREET, BALCLUTHA",NZ,23,HARWICH STREET,BALCLUTHA,,,
"61 LONDON STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,61,LONDON STREET,DUNEDIN,,,
"8 COCKERELL STREET, BROCKVILLE, DUNEDIN",NZ,8,COCKERELL STREET,DUNEDIN,,,
"2 SHERWOOD STREET, PORTOBELLO, DUNEDIN",NZ,2,SHERWOOD STREET,DUNEDIN,,,
"300 UNION STREET, MILTON",NZ,300,UNION STREET,MILTON,,,
"30 PEEL STREET, MORNINGTON, DUNEDIN",NZ,30,PEEL STREET,DUNEDIN,,,
"412 SOUTH ROAD, CAVERSHAM, DUNEDIN",NZ,412,SOUTH ROAD,DUNEDIN,,,
"1109 GREENFIELD ROAD, PUKETI, CLYDEVALE",NZ,1109,GREENFIELD ROAD,CLYDEVALE,,,
"42 PERTH STREET, MOSGIEL",NZ,42,PERTH STREET,MOSGIEL,,,
"22A MAXWELL PLACE, QUEENSTOWN",NZ,22A,MAXWELL PLACE,QUEENSTOWN,,,
"60 HOPKINS STREET, LUGGATE, WANAKA",NZ,60,HOPKINS STREET,WANAKA,,,
"12 OLD SCHOOL ROAD, WAIRUNA, CLINTON",NZ,12,OLD SCHOOL ROAD,CLINTON,,,
"38 EASTHER CRESCENT, KEW, DUNEDIN",NZ,38,EASTHER CRESCENT,DUNEDIN,,,
"182 FORFAR STREET, MARYHILL, DUNEDIN",NZ,182,FORFAR STREET,DUNEDIN,,,
"34 SHAW STREET, MOSGIEL",NZ,34,SHAW STREET,MOSGIEL,,,
"570 GLENORCHY-PARADISE ROAD, GLENORCHY",NZ,570,GLENORCHY-PARADISE ROAD,GLENORCHY,,,
"564 HIGHGATE, MAORI HILL, DUNEDIN",NZ,564,HIGHGATE,DUNEDIN,,,
"500 SOUTH ROAD, CALTON HILL, DUNEDIN",NZ,500,SOUTH ROAD,DUNEDIN,,,
"2312 CARDRONA VALLEY ROAD, CARDRONA, WANAKA",NZ,2312,CARDRONA VALLEY ROAD,WANAKA,,,
"495 STONEY CREEK ROAD, KELVIN GROVE, PALMERSTON NORTH",NZ,495,STONEY CREEK ROAD,PALMERSTON NORTH,,,
"10 ERSKINE PLACE, SAINT CLAIR, DUNEDIN",NZ,10,ERSKINE PLACE,DUNEDIN,,,
"19 ERIN STREET, ROSLYN, DUNEDIN",NZ,19,ERIN STREET,DUNEDIN,,,
"31 CARMICHAEL STREET, RANGIORA",NZ,31,CARMICHAEL STREET,RANGIORA,,,
"227 SLOPEDOWN ROAD, SLOPEDOWN, CLINTON",NZ,227,SLOPEDOWN ROAD,CLINTON,,,
"341 BRIGHTON ROAD, WALDRONVILLE, DUNEDIN",NZ,341,BRIGHTON ROAD,DUNEDIN,,,
"2 WALSH LANE, MAORI HILL, DUNEDIN",NZ,2,WALSH LANE,DUNEDIN,,,
"33 SOPER ROAD, MOSGIEL",NZ,33,SOPER ROAD,MOSGIEL,,,
"157 KELLY JADE AVENUE, MATARANGI, WHITIANGA",NZ,157,KELLY JADE AVENUE,WHITIANGA,,,
"7 MAREWA STREET, KEW, DUNEDIN",NZ,7,MAREWA STREET,DUNEDIN,,,
"8 CAMPBELL STREET, ALEXANDRA",NZ,8,CAMPBELL STREET,ALEXANDRA,,,
"12 CRIEFF STREET, NORTHLAND, WELLINGTON",NZ,12,CRIEFF STREET,WELLINGTON,,,
"78 WAENGA DRIVE, CROMWELL",NZ,78,WAENGA DRIVE,CROMWELL,,,
"5 KERRY STREET, ALEXANDRA",NZ,5,KERRY STREET,ALEXANDRA,,,
"24 NELSON STREET, FORBURY, DUNEDIN",NZ,24,NELSON STREET,DUNEDIN,,,
"112 PARK STREET, QUEENSTOWN",NZ,112,PARK STREET,QUEENSTOWN,,,
"22 BRANXHOLM STREET, ROXBURGH",NZ,22,BRANXHOLM STREET,ROXBURGH,,,
"159 BENHAR ROAD, BENHAR, BALCLUTHA",NZ,159,BENHAR ROAD,BALCLUTHA,,,
"47 RIMU STREET, TE KAUWHATA",NZ,47,RIMU STREET,TE KAUWHATA,,,
"121 BEACON POINT ROAD, WANAKA",NZ,121,BEACON POINT ROAD,WANAKA,,,
"28 SHAW STREET, MOSGIEL",NZ,28,SHAW STREET,MOSGIEL,,,
"17 WAKATIPU HEIGHTS, QUEENSTOWN",NZ,17,WAKATIPU HEIGHTS,QUEENSTOWN,,,
"11 BRADFORD STREET, BRADFORD, DUNEDIN",NZ,11,BRADFORD STREET,DUNEDIN,,,
"276 PRINCES STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,276,PRINCES STREET,DUNEDIN,,,
"24 MAILER STREET, MORNINGTON, DUNEDIN",NZ,24,MAILER STREET,DUNEDIN,,,
"9 LEVEN STREET, ROSLYN, DUNEDIN",NZ,9,LEVEN STREET,DUNEDIN,,,
"2390 OWAKA HIGHWAY, KATEA, OWAKA",NZ,2390,OWAKA HIGHWAY,OWAKA,,,
"128 UNION STREET, MILTON",NZ,128,UNION STREET,MILTON,,,
"36 KIRKLAND STREET, GREEN ISLAND, DUNEDIN",NZ,36,KIRKLAND STREET,DUNEDIN,,,
"76 SCHOOL ROAD, MAKARORA, WANAKA",NZ,76,SCHOOL ROAD,WANAKA,,,
"7 CHAPEL STREET, KAIKORAI, DUNEDIN",NZ,7,CHAPEL STREET,DUNEDIN,,,
"1 BEDFORD STREET, SAINT CLAIR, DUNEDIN",NZ,1,BEDFORD STREET,DUNEDIN,,,
"29 LEES STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,29,LEES STREET,DUNEDIN,,,
"408 BAY VIEW ROAD, SAINT CLAIR, DUNEDIN",NZ,408,BAY VIEW ROAD,DUNEDIN,,,
"113 FORSYTH ROAD, MILTON",NZ,113,FORSYTH ROAD,MILTON,,,
"38 ARGYLE STREET, MORNINGTON, DUNEDIN",NZ,38,ARGYLE STREET,DUNEDIN,,,
"51 PENNANT STREET, WAKARI, DUNEDIN",NZ,51,PENNANT STREET,DUNEDIN,,,
"74 WAENGA DRIVE, CROMWELL",NZ,74,WAENGA DRIVE,CROMWELL,,,
"9 CORNWALL STREET, ARROWTOWN",NZ,9,CORNWALL STREET,ARROWTOWN,,,
"33 MAYFIELD AVENUE, WAKARI, DUNEDIN",NZ,33,MAYFIELD AVENUE,DUNEDIN,,,
"323 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,323,MAIN SOUTH ROAD,DUNEDIN,,,
"52 GREENOCK STREET, KAIKORAI, DUNEDIN",NZ,52,GREENOCK STREET,DUNEDIN,,,
"782 BRIGHTON ROAD, OCEAN VIEW, DUNEDIN",NZ,782,BRIGHTON ROAD,DUNEDIN,,,
"5 ASPINALL STREET, WANAKA",NZ,5,ASPINALL STREET,WANAKA,,,
"4 WALSH LANE, MAORI HILL, DUNEDIN",NZ,4,WALSH LANE,DUNEDIN,,,
"34 LANARK STREET, BALCLUTHA",NZ,34,LANARK STREET,BALCLUTHA,,,
"93 FACTORY ROAD, MOSGIEL",NZ,93,FACTORY ROAD,MOSGIEL,,,
"40 HAYWOOD STREET, THE GLEN, DUNEDIN",NZ,40,HAYWOOD STREET,DUNEDIN,,,
"12 BLAKE STREET, HALFWAY BUSH, DUNEDIN",NZ,12,BLAKE STREET,DUNEDIN,,,
"25 HIGH STREET, PETONE, LOWER HUTT",NZ,25,HIGH STREET,LOWER HUTT,,,
"20 FACTORY ROAD, MOSGIEL",NZ,20,FACTORY ROAD,MOSGIEL,,,
"37 KEITHMORE ROAD, BALCLUTHA",NZ,37,KEITHMORE ROAD,BALCLUTHA,,,
"55 WALTER STREET, THE GLEN, DUNEDIN",NZ,55,WALTER STREET,DUNEDIN,,,
"6 LARCH AVENUE, NASEBY",NZ,6,LARCH AVENUE,NASEBY,,,
"52A TIDEWATER DRIVE, LOWER PORTOBELLO, DUNEDIN",NZ,52A,TIDEWATER DRIVE,DUNEDIN,,,
"59 CLIFFS ROAD, SAINT CLAIR, DUNEDIN",NZ,59,CLIFFS ROAD,DUNEDIN,,,
"12 RICHARDS PARK LANE, FERNHILL, QUEENSTOWN",NZ,12,RICHARDS PARK LANE,QUEENSTOWN,,,
"24 NEWCASTLE STREET, CLYDE",NZ,24,NEWCASTLE STREET,CLYDE,,,
"68 NAIRN STREET, KAIKORAI, DUNEDIN",NZ,68,NAIRN STREET,DUNEDIN,,,
"35 ROY CRESCENT, CONCORD, DUNEDIN",NZ,35,ROY CRESCENT,DUNEDIN,,,
"107 BAY VIEW ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,107,BAY VIEW ROAD,DUNEDIN,,,
"30 MARSHALL STREET, BRADFORD, DUNEDIN",NZ,30,MARSHALL STREET,DUNEDIN,,,
"38 ELIZABETH STREET, LAKE HAWEA",NZ,38,ELIZABETH STREET,LAKE HAWEA,,,
"12 TOMKINS STREET, GREEN ISLAND, DUNEDIN",NZ,12,TOMKINS STREET,DUNEDIN,,,
"5 ELLERSLEY STREET, HALFWAY BUSH, DUNEDIN",NZ,5,ELLERSLEY STREET,DUNEDIN,,,
"83 ELM ROW, DUNEDIN CENTRAL, DUNEDIN",NZ,83,ELM ROW,DUNEDIN,,,
"52 MEADOWSTONE DRIVE, WANAKA",NZ,52,MEADOWSTONE DRIVE,WANAKA,,,
"10 AURUM COURT, CROMWELL",NZ,10,AURUM COURT,CROMWELL,,,
"210 CLYDE STREET, BALCLUTHA",NZ,210,CLYDE STREET,BALCLUTHA,,,
"10 TOHILL COURT, ALEXANDRA",NZ,10,TOHILL COURT,ALEXANDRA,,,
"67 MATAI ROAD, WANAKA",NZ,67,MATAI ROAD,WANAKA,,,
"116 GLEN ROAD, THE GLEN, DUNEDIN",NZ,116,GLEN ROAD,DUNEDIN,,,
"6 MACBETH STREET, CAVERSHAM, DUNEDIN",NZ,6,MACBETH STREET,DUNEDIN,,,
"60 PARRY CRESCENT, LAKE HAWEA",NZ,60,PARRY CRESCENT,LAKE HAWEA,,,
"7 ARONUI ROAD, BRIDGE HILL, ALEXANDRA",NZ,7,ARONUI ROAD,ALEXANDRA,,,
"10 GOW STREET, MOSGIEL",NZ,10,GOW STREET,MOSGIEL,,,
"15 VULCAN ROAD, WALDRONVILLE, DUNEDIN",NZ,15,VULCAN ROAD,DUNEDIN,,,
"9 CANNA STREET, LAWRENCE",NZ,9,CANNA STREET,LAWRENCE,,,
"4 TELFER STREET, BALCLUTHA",NZ,4,TELFER STREET,BALCLUTHA,,,
"28 REECE CRESCENT, WANAKA",NZ,28,REECE CRESCENT,WANAKA,,,
"36 RAILWAY TERRACE, WAIPAHI, GORE",NZ,36,RAILWAY TERRACE,GORE,,,
"12 NAISH STREET, BALCLUTHA",NZ,12,NAISH STREET,BALCLUTHA,,,
"52 CLERMISTON AVENUE, CORSTORPHINE, DUNEDIN",NZ,52,CLERMISTON AVENUE,DUNEDIN,,,
"94 HUNTER CRESCENT, WANAKA",NZ,94,HUNTER CRESCENT,WANAKA,,,
"10 MATAI STREET, KAKA POINT",NZ,10,MATAI STREET,KAKA POINT,,,
"24 WOODHAUGH STREET, WOODHAUGH, DUNEDIN",NZ,24,WOODHAUGH STREET,DUNEDIN,,,
"13 TURNER STREET, HALFWAY BUSH, DUNEDIN",NZ,13,TURNER STREET,DUNEDIN,,,
"11 MURE STREET, MOSGIEL",NZ,11,MURE STREET,MOSGIEL,,,
"191 NGATOKA ROAD, MANGAPAI, WHANGAREI",NZ,191,NGATOKA ROAD,WHANGAREI,,,
"3 HOLLY COURT, KELVIN HEIGHTS, QUEENSTOWN",NZ,3,HOLLY COURT,QUEENSTOWN,,,
"20 JOLLYS ROAD, CROMWELL",NZ,20,JOLLYS ROAD,CROMWELL,,,
"90 HOPKINS STREET, LUGGATE, WANAKA",NZ,90,HOPKINS STREET,WANAKA,,,
"419 KAITANGATA HIGHWAY, STIRLING",NZ,419,KAITANGATA HIGHWAY,STIRLING,,,
"4 FRANCES STREET, TAIERI BEACH, TAIERI MOUTH",NZ,4,FRANCES STREET,TAIERI MOUTH,,,
"25 HURST STREET, KAITANGATA",NZ,25,HURST STREET,KAITANGATA,,,
"11 HALL STREET, SOUTH DUNEDIN, DUNEDIN",NZ,11,HALL STREET,DUNEDIN,,,
"97A HILLCREST ROAD, KAIKOHE",NZ,97A,HILLCREST ROAD,KAIKOHE,,,
"1458 THONGCASTER ROAD, BURNT HILL, OXFORD",NZ,1458,THONGCASTER ROAD,OXFORD,,,
"15 WRAY STREET, BROCKVILLE, DUNEDIN",NZ,15,WRAY STREET,DUNEDIN,,,
"33 HIGHGATE, BELLEKNOWES, DUNEDIN",NZ,33,HIGHGATE,DUNEDIN,,,
"10 LARCH COURT, KELVIN HEIGHTS, QUEENSTOWN",NZ,10,LARCH COURT,QUEENSTOWN,,,
"62 AJAX STREET, MILTON",NZ,62,AJAX STREET,MILTON,,,
"329 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,329,MAIN SOUTH ROAD,DUNEDIN,,,
"99A WAKARI ROAD, HELENSBURGH, DUNEDIN",NZ,99A,WAKARI ROAD,DUNEDIN,,,
"2 BLACK STREET, ALEXANDRA",NZ,2,BLACK STREET,ALEXANDRA,,,
"23 PENRITH PARK DRIVE, WANAKA",NZ,23,PENRITH PARK DRIVE,WANAKA,,,
"252 CLYDE STREET, BALCLUTHA",NZ,252,CLYDE STREET,BALCLUTHA,,,
"12 QUARRY ROAD, GREEN ISLAND, DUNEDIN",NZ,12,QUARRY ROAD,DUNEDIN,,,
"70 LAKEVIEW TERRACE, LAKE HAWEA",NZ,70,LAKEVIEW TERRACE,LAKE HAWEA,,,
"98 GORDON ROAD, MOSGIEL",NZ,98,GORDON ROAD,MOSGIEL,,,
"27 RIVERSIDE ROAD, INCH CLUTHA, KAITANGATA",NZ,27,RIVERSIDE ROAD,KAITANGATA,,,
"209 WAITAKI DRIVE WEST, OTEMATATA",NZ,209,WAITAKI DRIVE WEST,OTEMATATA,,,
"88 DOON STREET, MOSGIEL",NZ,88,DOON STREET,MOSGIEL,,,
"12 ALLEN STREET, NASEBY",NZ,12,ALLEN STREET,NASEBY,,,
"169 FERNHILL ROAD, FERNHILL, QUEENSTOWN",NZ,169,FERNHILL ROAD,QUEENSTOWN,,,
"7 THE MALL, CROMWELL",NZ,7,THE MALL,CROMWELL,,,
"34 HOOD CRESCENT, ARROWTOWN",NZ,34,HOOD CRESCENT,ARROWTOWN,,,
"160 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,160,MAIN SOUTH ROAD,DUNEDIN,,,
"57 FALCON STREET, KAIKORAI, DUNEDIN",NZ,57,FALCON STREET,DUNEDIN,,,
"2 BYRON STREET, MORNINGTON, DUNEDIN",NZ,2,BYRON STREET,DUNEDIN,,,
"126 MARTIN ROAD, FAIRFIELD, DUNEDIN",NZ,126,MARTIN ROAD,DUNEDIN,,,
"12 ARMSTRONG STREET, BALCLUTHA",NZ,12,ARMSTRONG STREET,BALCLUTHA,,,
"46 MCDONALD STREET, MOSGIEL",NZ,46,MCDONALD STREET,MOSGIEL,,,
"2 CHERRY DRIVE, MOSGIEL",NZ,2,CHERRY DRIVE,MOSGIEL,,,
"11 MELVILLE STREET, MOSGIEL",NZ,11,MELVILLE STREET,MOSGIEL,,,
"22 EDGEWARE AVENUE, MOSGIEL",NZ,22,EDGEWARE AVENUE,MOSGIEL,,,
"538 WAIHOLA HIGHWAY, MILBURN, MILTON",NZ,538,WAIHOLA HIGHWAY,MILTON,,,
"19 PRESTWICK STREET, MAORI HILL, DUNEDIN",NZ,19,PRESTWICK STREET,DUNEDIN,,,
"455 FRANKTON ROAD, QUEENSTOWN",NZ,455,FRANKTON ROAD,QUEENSTOWN,,,
"137 EGLINTON ROAD, MORNINGTON, DUNEDIN",NZ,137,EGLINTON ROAD,DUNEDIN,,,
"19 ABERCROMBIE STREET, MILTON",NZ,19,ABERCROMBIE STREET,MILTON,,,
"1 EDEN STREET, MILTON",NZ,1,EDEN STREET,MILTON,,,
"39 KINGS DRIVE, WANAKA",NZ,39,KINGS DRIVE,WANAKA,,,
"16 ASQUITH STREET, CAVERSHAM, DUNEDIN",NZ,16,ASQUITH STREET,DUNEDIN,,,
"7 ENNIS STREET, ALEXANDRA",NZ,7,ENNIS STREET,ALEXANDRA,,,
"62 CARLYLE ROAD, MOSGIEL",NZ,62,CARLYLE ROAD,MOSGIEL,,,
"384 ANDERSONS BAY ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,384,ANDERSONS BAY ROAD,DUNEDIN,,,
"9 ATHOL TERRACE, UPPER RICCARTON, CHRISTCHURCH",NZ,9,ATHOL TERRACE,CHRISTCHURCH,,,
"54 BENNETT ROAD, OCEAN VIEW, DUNEDIN",NZ,54,BENNETT ROAD,DUNEDIN,,,
"306 KAIKORAI VALLEY ROAD, BRADFORD, DUNEDIN",NZ,306,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"58 WRAY STREET, BROCKVILLE, DUNEDIN",NZ,58,WRAY STREET,DUNEDIN,,,
"15 MAHENO STREET, MAORI HILL, DUNEDIN",NZ,15,MAHENO STREET,DUNEDIN,,,
"27 RIVERBANK ROAD, WANAKA",NZ,27,RIVERBANK ROAD,WANAKA,,,
"22 SHAW STREET, ARROWTOWN",NZ,22,SHAW STREET,ARROWTOWN,,,
"49 STENHOPE CRESCENT, CORSTORPHINE, DUNEDIN",NZ,49,STENHOPE CRESCENT,DUNEDIN,,,
"30 CAMP STREET, QUEENSTOWN",NZ,30,CAMP STREET,QUEENSTOWN,,,
"81 GREENACRES STREET, MACANDREW BAY, DUNEDIN",NZ,81,GREENACRES STREET,DUNEDIN,,,
"116 ELGIN ROAD, KENMURE, DUNEDIN",NZ,116,ELGIN ROAD,DUNEDIN,,,
"17 ROB ROY LANE, WANAKA",NZ,17,ROB ROY LANE,WANAKA,,,
"32 EGLINTON ROAD, THE GLEN, DUNEDIN",NZ,32,EGLINTON ROAD,DUNEDIN,,,
"24 SOPER ROAD, MOSGIEL",NZ,24,SOPER ROAD,MOSGIEL,,,
"25 GLENELG STREET, BRADFORD, DUNEDIN",NZ,25,GLENELG STREET,DUNEDIN,,,
"342 MILL ROAD NORTH, MYROSS BUSH, INVERCARGILL",NZ,342,MILL ROAD NORTH,INVERCARGILL,,,
"46 LAW STREET, CAVERSHAM, DUNEDIN",NZ,46,LAW STREET,DUNEDIN,,,
"32 EASTHER CRESCENT, KEW, DUNEDIN",NZ,32,EASTHER CRESCENT,DUNEDIN,,,
"37 STATION ROAD, TAPANUI",NZ,37,STATION ROAD,TAPANUI,,,
"70 WYNYARD CRESCENT, FERNHILL, QUEENSTOWN",NZ,70,WYNYARD CRESCENT,QUEENSTOWN,,,
"9 RENTONS ROAD, MOSGIEL",NZ,9,RENTONS ROAD,MOSGIEL,,,
"49 RICHMOND STREET, FORBURY, DUNEDIN",NZ,49,RICHMOND STREET,DUNEDIN,,,
"14A JELLICOE STREET, MORNINGSIDE, WHANGAREI",NZ,14A,JELLICOE STREET,WHANGAREI,,,
"173 KARETAI ROAD, HIGHCLIFF, DUNEDIN",NZ,173,KARETAI ROAD,DUNEDIN,,,
"1 LAKEVIEW TERRACE, CROMWELL",NZ,1,LAKEVIEW TERRACE,CROMWELL,,,
"26 GRANVILLE TERRACE, BELLEKNOWES, DUNEDIN",NZ,26,GRANVILLE TERRACE,DUNEDIN,,,
"8 JAFFRAY DRIVE, EAST TAIERI, MOSGIEL",NZ,8,JAFFRAY DRIVE,MOSGIEL,,,
"37 EMBO STREET, CAVERSHAM, DUNEDIN",NZ,37,EMBO STREET,DUNEDIN,,,
"5 BURWOOD AVENUE, MAORI HILL, DUNEDIN",NZ,5,BURWOOD AVENUE,DUNEDIN,,,
"1 SCAIFE PLACE, WANAKA",NZ,1,SCAIFE PLACE,WANAKA,,,
"4 ESPLANADE, KAKA POINT",NZ,4,ESPLANADE,KAKA POINT,,,
