address,country_code,house_number,street,town,state,postal_code,country
"2160 MANUKA GORGE HIGHWAY, WAITAHUNA, LAWRENCE",NZ,2160,MANUKA GORGE HIGHWAY,LAWRENCE,,,
"12 MOA STREET, ALEXANDRA",NZ,12,MOA STREET,ALEXANDRA,,,
"25 DOUGLAS STREET, FRANKTON, QUEENSTOWN",NZ,25,DOUGLAS STREET,QUEENSTOWN,,,
"19 HILL STREET, STIRLING",NZ,19,HILL STREET,STIRLING,,,
"25 MOUNTFORT STREET, OUTRAM",NZ,25,MOUNTFORT STREET,OUTRAM,,,
"7 LEWIN STREET, BALCLUTHA",NZ,7,LEWIN STREET,BALCLUTHA,,,
"74A TIDEWATER DRIVE, LOWER PORTOBELLO, DUNEDIN",NZ,74A,TIDEWATER DRIVE,DUNEDIN,,,
"18 ARGYLE STREET, MORNINGTON, DUNEDIN",NZ,18,ARGYLE STREET,DUNEDIN,,,
"50 MULFORD STREET, CONCORD, DUNEDIN",NZ,50,MULFORD STREET,DUNEDIN,,,
"34 ESTUARY CRESCENT, FAIRFIELD, DUNEDIN",NZ,34,ESTUARY CRESCENT,DUNEDIN,,,
"194 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,194,CORSTORPHINE ROAD,DUNEDIN,,,
"7 WAIROA STREET, KAIKORAI, DUNEDIN",NZ,7,WAIROA STREET,DUNEDIN,,,
"33 PERY STREET, RANFURLY",NZ,33,PERY STREET,RANFURLY,,,
"14 SMITH STREET, BALCLUTHA",NZ,14,SMITH STREET,BALCLUTHA,,,
"409 HIGHGATE, ROSLYN, DUNEDIN",NZ,409,HIGHGATE,DUNEDIN,,,
"2 VANDA PLACE, FERNHILL, QUEENSTOWN",NZ,2,VANDA PLACE,QUEENSTOWN,,,
"19 SEAVIEW ROAD, BRIGHTON, DUNEDIN",NZ,19,SEAVIEW ROAD,DUNEDIN,,,
"247 CROSS LINE, MORISON BUSH, GREYTOWN",NZ,247,CROSS LINE,GREYTOWN,,,
"66 DERWENT STREET, NASEBY",NZ,66,DERWENT STREET,NASEBY,,,
"207 WAITAKI DRIVE WEST, OTEMATATA",NZ,207,WAITAKI DRIVE WEST,OTEMATATA,,,
